url,title,image_url
https://en.wikipedia.org/wiki/Bags%27_Groove,Bags' Groove,https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Image-bagsgroove.jpg/220px-Image-bagsgroove.jpg
https://en.wikipedia.org/wiki/Jack_Johnson_(album),Jack Johnson (album),https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Jack_Johnson_S_30455.jpg/220px-Jack_Johnson_S_30455.jpg
https://en.wikipedia.org/wiki/E.S.P._(Miles_Davis_album),E.S.P. (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/a/aa/E.S.P._cover.jpg/220px-E.S.P._cover.jpg
https://en.wikipedia.org/wiki/Get_Up_with_It,Get Up with It,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Miles_Davis_get_up_with_it.png/220px-Miles_Davis_get_up_with_it.png
https://en.wikipedia.org/wiki/Miles_Smiles,Miles Smiles,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Miles_Davis_-_Miles_Smiles.jpg/220px-Miles_Davis_-_Miles_Smiles.jpg
https://en.wikipedia.org/wiki/Nefertiti_(Miles_Davis_album),Nefertiti (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Miles_Davis_-_Nefertiti.jpg/220px-Miles_Davis_-_Nefertiti.jpg
https://en.wikipedia.org/wiki/Sorcerer_(Miles_Davis_album),Sorcerer (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Miles_Davis_Sorcerer.jpg/220px-Miles_Davis_Sorcerer.jpg
https://en.wikipedia.org/wiki/Four_%26_More,Four & More,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/MilesDavis_FourAndMore.jpg/220px-MilesDavis_FourAndMore.jpg
https://en.wikipedia.org/wiki/Miles_in_the_Sky,Miles in the Sky,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/MilesDavis_MilesInTheSky.jpg/220px-MilesDavis_MilesInTheSky.jpg
https://en.wikipedia.org/wiki/Seven_Steps_to_Heaven,Seven Steps to Heaven,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Seven_Steps_to_Heaven_cover.jpg/220px-Seven_Steps_to_Heaven_cover.jpg
https://en.wikipedia.org/wiki/Live-Evil_(Miles_Davis_album),Live-Evil (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Miles_Davis_Live-Evil.jpg/220px-Miles_Davis_Live-Evil.jpg
https://en.wikipedia.org/wiki/Walkin%27,Walkin',https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Walkin_Miles_Davis_AllStars.jpg/220px-Walkin_Miles_Davis_AllStars.jpg
https://en.wikipedia.org/wiki/Dig_(Miles_Davis_album),Dig (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Dig_MilesDavis.jpg/220px-Dig_MilesDavis.jpg
https://en.wikipedia.org/wiki/Quintet/Sextet,Quintet/Sextet,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Quintet_Sextet.jpg/220px-Quintet_Sextet.jpg
https://en.wikipedia.org/wiki/Miles_in_Tokyo,Miles in Tokyo,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/MilesDavis_MilesInTokyo1960s.jpg/220px-MilesDavis_MilesInTokyo1960s.jpg
https://en.wikipedia.org/wiki/Blue_Haze,Blue Haze,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/Blue_haze.JPG/220px-Blue_haze.JPG
https://en.wikipedia.org/wiki/Circle_in_the_Round,Circle in the Round,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Miles_Davis_-_Circle_in_the_Round.jpg/220px-Miles_Davis_-_Circle_in_the_Round.jpg
https://en.wikipedia.org/wiki/Miles_Davis_Quartet_(album),Miles Davis Quartet (album),https://upload.wikimedia.org/wikipedia/en/thumb/9/92/MilesQuartet.jpg/220px-MilesQuartet.jpg
https://en.wikipedia.org/wiki/Collectors%27_Items,Collectors' Items,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/CollectorsItems_MilesDavis.jpg/220px-CollectorsItems_MilesDavis.jpg
https://en.wikipedia.org/wiki/Miles_Davis_Quintet_(album),Miles Davis Quintet (album),https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/MilesDavisQuintet1954Album.jpg/220px-MilesDavisQuintet1954Album.jpg
https://en.wikipedia.org/wiki/Miles_Davis_at_Carnegie_Hall,Miles Davis at Carnegie Hall,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/At_Carnegie_Hall_-_Miles_Davis.jpg/220px-At_Carnegie_Hall_-_Miles_Davis.jpg
https://en.wikipedia.org/wiki/Live_in_Europe_1969:_The_Bootleg_Series_Vol._2,Live in Europe 1969: The Bootleg Series Vol. 2,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Miles_Davis_Live_in_Europe_1969.jpg/220px-Miles_Davis_Live_in_Europe_1969.jpg
https://en.wikipedia.org/wiki/Miles_Davis_with_Sonny_Rollins,Miles Davis with Sonny Rollins,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/MilesDavisWithSonnyRollins.jpg/220px-MilesDavisWithSonnyRollins.jpg
https://en.wikipedia.org/wiki/Miles_Davis_at_Fillmore,Miles Davis at Fillmore,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Miles_Davis-At_Fillmore-cbs.jpg/220px-Miles_Davis-At_Fillmore-cbs.jpg
https://en.wikipedia.org/wiki/Black_Beauty:_Miles_Davis_at_Fillmore_West,Black Beauty: Miles Davis at Fillmore West,https://upload.wikimedia.org/wikipedia/en/thumb/a/aa/Black_Beauty_Miles_Davis_at_Fillmore_West.jpg/220px-Black_Beauty_Miles_Davis_at_Fillmore_West.jpg
https://en.wikipedia.org/wiki/Miles_at_the_Fillmore_%E2%80%93_Miles_Davis_1970:_The_Bootleg_Series_Vol._3,Miles at the Fillmore – Miles Davis 1970: The Bootleg Series Vol. 3,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Miles_at_the_Fillmore.jpg/220px-Miles_at_the_Fillmore.jpg
"https://en.wikipedia.org/wiki/In_Person_Friday_and_Saturday_Nights_at_the_Blackhawk,_Complete","In Person Friday and Saturday Nights at the Blackhawk, Complete",https://upload.wikimedia.org/wikipedia/en/d/d9/Ipblackhawkcomplete.jpg
https://en.wikipedia.org/wiki/Bitches_Brew_Live,Bitches Brew Live,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Bitches_Brew_Live.jpg/220px-Bitches_Brew_Live.jpg
https://en.wikipedia.org/wiki/Porgy_and_Bess_(Miles_Davis_album),Porgy and Bess (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Porgy_and_Bess_%28Miles_Davis%29.jpg/220px-Porgy_and_Bess_%28Miles_Davis%29.jpg
https://en.wikipedia.org/wiki/Miles_%26_Quincy_Live_at_Montreux,Miles & Quincy Live at Montreux,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Miles_%26_Quincy_Live_at_Montreux_cover.jpg/220px-Miles_%26_Quincy_Live_at_Montreux_cover.jpg
https://en.wikipedia.org/wiki/Doo-Bop,Doo-Bop,https://upload.wikimedia.org/wikipedia/en/e/eb/Doo-Bop_front.jpg
https://en.wikipedia.org/wiki/Agharta_(album),Agharta (album),https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Agharta_album_cover.jpg/220px-Agharta_album_cover.jpg
https://en.wikipedia.org/wiki/Directions_(Miles_Davis_album),Directions (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/9/9a/Miles_Davis_Directions.jpg
https://en.wikipedia.org/wiki/Africa/Brass,Africa/Brass,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/ColtraneAfricaBrassCover.jpg/220px-ColtraneAfricaBrassCover.jpg
https://en.wikipedia.org/wiki/Miles_Ahead_(album),Miles Ahead (album),https://upload.wikimedia.org/wikipedia/en/2/29/MilesAhead_original.jpg
https://en.wikipedia.org/wiki/We_Want_Miles,We Want Miles,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/WeWantMiles.jpg/220px-WeWantMiles.jpg
https://en.wikipedia.org/wiki/Quiet_Nights_(Miles_Davis_and_Gil_Evans_album),Quiet Nights (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/MileDavis_QuietNights.jpg/220px-MileDavis_QuietNights.jpg
"https://en.wikipedia.org/wiki/Miles_Davis_All_Stars,_Volume_2","Miles Davis All Stars, Vols. 1 & 2",https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/MilesAllStarsVol1.jpg/220px-MilesAllStarsVol1.jpg
https://en.wikipedia.org/wiki/Sketches_of_Spain,Sketches of Spain,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Miles_Davis_-_Sketches_of_Spain.png/220px-Miles_Davis_-_Sketches_of_Spain.png
https://en.wikipedia.org/wiki/Aura_(Miles_Davis_album),Aura (Miles Davis album),https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/MilesDavisAura.jpg/220px-MilesDavisAura.jpg
https://en.wikipedia.org/wiki/Dark_Magus,Dark Magus,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/MilesDavis_DarkMagus.jpg/220px-MilesDavis_DarkMagus.jpg
https://en.wikipedia.org/wiki/The_Musings_of_Miles,The Musings of Miles,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/TheMusingsOfMiles_Davis.jpg/220px-TheMusingsOfMiles_Davis.jpg
https://en.wikipedia.org/wiki/Pangaea_(album),Pangaea (album),https://upload.wikimedia.org/wikipedia/en/thumb/3/34/DavisPangaea.jpg/220px-DavisPangaea.jpg
