url,title
https://en.wikipedia.org/wiki/Miles_Davis_%26_Gil_Evans:_The_Complete_Columbia_Studio_Recordings,Miles Davis & Gil Evans: The Complete Columbia Studio Recordings
https://en.wikipedia.org/wiki/Star_People,Star People
https://en.wikipedia.org/wiki/Decoy_(album),Decoy (album)
https://en.wikipedia.org/wiki/Live_in_Europe_1967:_The_Bootleg_Series_Vol._1,Live in Europe 1967: The Bootleg Series Vol. 1
https://en.wikipedia.org/wiki/You%27re_Under_Arrest_(Miles_Davis_album),You're Under Arrest (Miles Davis album)
https://en.wikipedia.org/wiki/The_Complete_Jack_Johnson_Sessions,The Complete Jack Johnson Sessions
https://en.wikipedia.org/wiki/Live_Around_the_World_(Miles_Davis_album),Live Around the World (Miles Davis album)
https://en.wikipedia.org/wiki/Miles_in_Berlin,Miles in Berlin
https://en.wikipedia.org/wiki/The_Complete_Live_at_the_Plugged_Nickel_1965,The Complete Live at the Plugged Nickel 1965
https://en.wikipedia.org/wiki/Blue_Period_(album),Blue Period (album)
https://en.wikipedia.org/wiki/Miles_Davis_Volume_2,"Miles Davis, Vol. 2"
https://en.wikipedia.org/wiki/Giant_Steps,Giant Steps
https://en.wikipedia.org/wiki/The_Columbia_Years_1955%E2%80%931985,The Columbia Years 1955–1985
"https://en.wikipedia.org/wiki/Miles_Davis,_Vol._3","Miles Davis, Vol. 3"
https://en.wikipedia.org/wiki/The_Complete_On_the_Corner_Sessions,The Complete On the Corner Sessions
https://en.wikipedia.org/wiki/The_Cellar_Door_Sessions_1970,The Cellar Door Sessions 1970
https://en.wikipedia.org/wiki/The_Complete_In_a_Silent_Way_Sessions,The Complete In a Silent Way Sessions
https://en.wikipedia.org/wiki/Blue_Moods,Blue Moods
https://en.wikipedia.org/wiki/The_Man_with_the_Horn,The Man with the Horn
"https://en.wikipedia.org/wiki/Miles_Davis_Quintet:_Freedom_Jazz_Dance:_The_Bootleg_Series,_Vol._5","Freedom Jazz Dance: The Bootleg Series, Vol. 5"
https://en.wikipedia.org/wiki/Dingo_(soundtrack),Dingo (soundtrack)
https://en.wikipedia.org/wiki/Music_from_Siesta,Music from Siesta
https://en.wikipedia.org/wiki/The_Legendary_Prestige_Quintet_Sessions,The Legendary Prestige Quintet Sessions
https://en.wikipedia.org/wiki/Tutu_(album),Tutu (album)
